order_id,order_date,expected_delivery_date,actual_delivery_date,supplier_id,product_id,warehouse_id,quantity_ordered,quantity_received,unit_cost_usd,total_cost_usd,order_status,delivery_status,days_late,quality_score,defect_quantity,payment_status,shipping_mode,order_year,order_month,order_month_name,order_quarter,order_year_month,actual_lead_time,fill_rate,is_perfect_order,supplier_name,country,tier,supplier_category,product_name,product_category,warehouse_name,city
PO00001,2024-03-24,2024-04-03,2024-03-31,SUP015,PRD015,WH001,200,191,7.68,1535.57,Delivered,On Time,0.0,3.0,6,Paid,Sea Freight,2024,3,March,1,2024-03,7.0,95.5,0,Malay Rubber Industries,Malaysia,B,Plastics,Rubber Gasket Set,Plastics,Riyadh Central Warehouse,Riyadh
PO00002,2023-12-05,2023-12-29,,SUP002,PRD002,WH003,200,0,3.3,659.77,Pending,Pending,,,0,Pending,Express Courier,2023,12,December,4,2023-12,,0.0,0,Gulf Packaging Ltd.,Saudi Arabia,A,Packaging,Corrugated Box 40x30,Packaging,Dammam Industrial Store,Dammam
PO00003,2024-08-13,2024-09-10,,SUP008,PRD008,WH004,200,0,8.2,1639.05,In Transit,Pending,,,0,Pending,Rail,2024,8,August,3,2024-08,,0.0,0,Mumbai Plastics Inc.,India,C,Plastics,PVC Pipe 3-inch 6m,Plastics,Dubai Free Zone Hub,Dubai
PO00004,2023-12-29,2024-01-28,2024-01-29,SUP007,PRD007,WH004,100,92,31.28,3128.07,Delivered,Late,1.0,3.4,2,Pending,Rail,2023,12,December,4,2023-12,31.0,92.0,0,Shanghai Electronics Ltd.,China,B,Electronics,LED Display Module,Electronics,Dubai Free Zone Hub,Dubai
PO00005,2023-09-13,2023-10-11,,SUP014,PRD014,WH004,100,0,62.24,6224.32,Cancelled,Cancelled,,,0,Cancelled,Express Courier,2023,9,September,3,2023-09,,0.0,0,Italian Leather Supplies,Italy,A,Textiles,Premium Leather Sheet,Textiles,Dubai Free Zone Hub,Dubai
PO00006,2023-01-16,2023-02-01,,SUP002,PRD002,WH002,750,0,3.14,2356.95,Pending,Pending,,,0,Pending,Rail,2023,1,January,1,2023-01,,0.0,0,Gulf Packaging Ltd.,Saudi Arabia,A,Packaging,Corrugated Box 40x30,Packaging,Jeddah Port Warehouse,Jeddah
PO00007,2023-03-02,2023-03-17,2023-03-20,SUP003,PRD003,WH001,1000,966,30.67,30668.58,Delivered,Late,3.0,4.0,9,Paid,Express Courier,2023,3,March,1,2023-03,18.0,96.6,0,Eastern Chemicals Corp.,Saudi Arabia,B,Chemicals,Sodium Hydroxide 25kg,Chemicals,Riyadh Central Warehouse,Riyadh
PO00008,2024-07-09,2024-07-13,,SUP001,PRD001,WH001,1000,0,49.5,49499.82,Pending,Pending,,,0,Pending,Express Courier,2024,7,July,3,2024-07,,0.0,0,Al Rajhi Materials Co.,Saudi Arabia,A,Raw Materials,Industrial Valve A-100,Valves,Riyadh Central Warehouse,Riyadh
PO00009,2023-06-11,2023-06-16,2023-06-23,SUP001,PRD001,WH002,200,191,49.6,9920.87,Delivered,Very Late,7.0,3.1,0,Paid,Air Freight,2023,6,June,2,2023-06,12.0,95.5,0,Al Rajhi Materials Co.,Saudi Arabia,A,Raw Materials,Industrial Valve A-100,Valves,Jeddah Port Warehouse,Jeddah
PO00010,2024-11-16,2024-11-27,,SUP012,PRD012,WH002,150,0,19.44,2915.84,In Transit,Pending,,,0,Pending,Road Transport,2024,11,November,4,2024-11,,0.0,0,Jordan Chemical Works,Jordan,C,Chemicals,Sulfuric Acid 10L,Chemicals,Jeddah Port Warehouse,Jeddah
PO00011,2024-04-13,2024-04-30,2024-04-27,SUP006,PRD006,WH001,150,148,15.64,2345.37,Delivered,On Time,0.0,4.8,6,Paid,Rail,2024,4,April,2,2024-04,14.0,98.67,0,Turkish Components AG,Turkey,A,Components,Circuit Board CB-500,Electronics,Riyadh Central Warehouse,Riyadh
PO00012,2024-07-10,2024-08-07,,SUP012,PRD012,WH005,50,0,19.43,971.42,Cancelled,Cancelled,,,0,Cancelled,Express Courier,2024,7,July,3,2024-07,,0.0,0,Jordan Chemical Works,Jordan,C,Chemicals,Sulfuric Acid 10L,Chemicals,Jubail Chemical Storage,Jubail
PO00013,2023-11-03,2023-11-14,2023-11-11,SUP015,PRD015,WH002,200,194,8.0,1600.27,Delivered,On Time,0.0,3.4,6,Paid,Road Transport,2023,11,November,4,2023-11,8.0,97.0,0,Malay Rubber Industries,Malaysia,B,Plastics,Rubber Gasket Set,Plastics,Jeddah Port Warehouse,Jeddah
PO00014,2023-02-22,2023-02-26,2023-02-25,SUP002,PRD002,WH003,750,716,3.49,2620.22,Delivered,On Time,0.0,3.9,0,Paid,Air Freight,2023,2,February,1,2023-02,3.0,95.47,0,Gulf Packaging Ltd.,Saudi Arabia,A,Packaging,Corrugated Box 40x30,Packaging,Dammam Industrial Store,Dammam
PO00015,2024-07-12,2024-08-01,2024-08-01,SUP001,PRD001,WH005,50,49,45.64,2281.94,Delivered,On Time,0.0,3.4,0,Paid,Express Courier,2024,7,July,3,2024-07,20.0,98.0,0,Al Rajhi Materials Co.,Saudi Arabia,A,Raw Materials,Industrial Valve A-100,Valves,Jubail Chemical Storage,Jubail
PO00016,2024-02-21,2024-03-22,2024-03-20,SUP010,PRD010,WH002,300,293,11.88,3564.08,Delivered,On Time,0.0,3.8,9,Paid,Sea Freight,2024,2,February,1,2024-02,28.0,97.67,0,Bahrain Logistics Hub,Bahrain,B,Packaging,Bubble Wrap Roll 100m,Packaging,Jeddah Port Warehouse,Jeddah
PO00017,2024-01-27,2024-02-06,2024-02-09,SUP014,PRD014,WH004,200,184,70.18,14035.49,Delivered,Late,3.0,4.3,3,Paid,Road Transport,2024,1,January,1,2024-01,13.0,92.0,0,Italian Leather Supplies,Italy,A,Textiles,Premium Leather Sheet,Textiles,Dubai Free Zone Hub,Dubai
PO00018,2023-12-26,2024-01-24,,SUP011,PRD011,WH006,300,0,103.63,31090.24,Cancelled,Cancelled,,,0,Cancelled,Sea Freight,2023,12,December,4,2023-12,,0.0,0,Oman Mineral Resources,Oman,B,Raw Materials,Copper Wire Spool 500m,Raw Materials,Madinah Distribution Center,Madinah
PO00019,2023-09-25,2023-10-01,,SUP003,PRD003,WH001,300,0,29.66,8897.97,In Transit,Pending,,,0,Pending,Road Transport,2023,9,September,3,2023-09,,0.0,0,Eastern Chemicals Corp.,Saudi Arabia,B,Chemicals,Sodium Hydroxide 25kg,Chemicals,Riyadh Central Warehouse,Riyadh
PO00020,2024-03-22,2024-04-12,2024-04-11,SUP010,PRD010,WH004,1000,968,12.06,12055.6,Delivered,On Time,0.0,4.9,35,Paid,Sea Freight,2024,3,March,1,2024-03,20.0,96.8,0,Bahrain Logistics Hub,Bahrain,B,Packaging,Bubble Wrap Roll 100m,Packaging,Dubai Free Zone Hub,Dubai
PO00021,2024-11-11,2024-11-24,2024-11-29,SUP015,PRD015,WH005,300,282,8.19,2456.39,Delivered,Late,5.0,3.6,1,Pending,Rail,2024,11,November,4,2024-11,18.0,94.0,0,Malay Rubber Industries,Malaysia,B,Plastics,Rubber Gasket Set,Plastics,Jubail Chemical Storage,Jubail
PO00022,2024-11-24,2024-12-15,2024-12-15,SUP012,PRD012,WH005,200,188,18.8,3760.19,Delivered,On Time,0.0,4.2,6,Pending,Air Freight,2024,11,November,4,2024-11,21.0,94.0,0,Jordan Chemical Works,Jordan,C,Chemicals,Sulfuric Acid 10L,Chemicals,Jubail Chemical Storage,Jubail
PO00023,2024-06-07,2024-06-12,2024-06-13,SUP008,PRD008,WH006,200,196,8.85,1770.87,Delivered,Late,1.0,3.3,0,Pending,Sea Freight,2024,6,June,2,2024-06,6.0,98.0,0,Mumbai Plastics Inc.,India,C,Plastics,PVC Pipe 3-inch 6m,Plastics,Madinah Distribution Center,Madinah
PO00024,2024-04-11,2024-05-06,,SUP007,PRD007,WH006,750,0,32.32,24238.75,In Transit,Pending,,,0,Pending,Air Freight,2024,4,April,2,2024-04,,0.0,0,Shanghai Electronics Ltd.,China,B,Electronics,LED Display Module,Electronics,Madinah Distribution Center,Madinah
PO00025,2024-11-02,2024-11-29,,SUP012,PRD012,WH001,200,0,18.06,3612.62,In Transit,Pending,,,0,Pending,Express Courier,2024,11,November,4,2024-11,,0.0,0,Jordan Chemical Works,Jordan,C,Chemicals,Sulfuric Acid 10L,Chemicals,Riyadh Central Warehouse,Riyadh
PO00026,2024-04-20,2024-05-07,2024-05-07,SUP001,PRD001,WH001,750,720,49.35,37011.33,Delivered,On Time,0.0,4.4,18,Pending,Rail,2024,4,April,2,2024-04,17.0,96.0,0,Al Rajhi Materials Co.,Saudi Arabia,A,Raw Materials,Industrial Valve A-100,Valves,Riyadh Central Warehouse,Riyadh
PO00027,2024-04-05,2024-04-16,,SUP005,PRD005,WH006,750,0,88.74,66555.78,Cancelled,Cancelled,,,0,Cancelled,Road Transport,2024,4,April,2,2024-04,,0.0,0,Nile Textiles Co.,Egypt,B,Textiles,Cotton Fabric Roll 50m,Textiles,Madinah Distribution Center,Madinah
PO00028,2024-03-26,2024-04-06,,SUP002,PRD002,WH002,300,0,3.47,1040.6,In Transit,Pending,,,0,Pending,Sea Freight,2024,3,March,1,2024-03,,0.0,0,Gulf Packaging Ltd.,Saudi Arabia,A,Packaging,Corrugated Box 40x30,Packaging,Jeddah Port Warehouse,Jeddah
PO00029,2023-05-22,2023-06-16,2023-06-14,SUP003,PRD003,WH004,1000,946,30.4,30400.32,Delivered,On Time,0.0,3.1,39,Pending,Express Courier,2023,5,May,2,2023-05,23.0,94.6,0,Eastern Chemicals Corp.,Saudi Arabia,B,Chemicals,Sodium Hydroxide 25kg,Chemicals,Dubai Free Zone Hub,Dubai
PO00030,2024-12-13,2024-12-16,,SUP001,PRD001,WH004,250,0,48.37,12091.87,In Transit,Pending,,,0,Pending,Rail,2024,12,December,4,2024-12,,0.0,0,Al Rajhi Materials Co.,Saudi Arabia,A,Raw Materials,Industrial Valve A-100,Valves,Dubai Free Zone Hub,Dubai
PO00031,2024-07-05,2024-07-15,2024-07-15,SUP012,PRD012,WH004,500,486,20.09,10045.86,Delivered,On Time,0.0,4.7,22,Paid,Express Courier,2024,7,July,3,2024-07,10.0,97.2,0,Jordan Chemical Works,Jordan,C,Chemicals,Sulfuric Acid 10L,Chemicals,Dubai Free Zone Hub,Dubai
PO00032,2024-07-31,2024-08-23,,SUP011,PRD011,WH001,150,0,102.6,15390.39,In Transit,Pending,,,0,Pending,Air Freight,2024,7,July,3,2024-07,,0.0,0,Oman Mineral Resources,Oman,B,Raw Materials,Copper Wire Spool 500m,Raw Materials,Riyadh Central Warehouse,Riyadh
PO00033,2023-02-21,2023-03-02,,SUP005,PRD019,WH003,300,0,4.5,1350.84,Pending,Pending,,,0,Pending,Rail,2023,2,February,1,2023-02,,0.0,0,Nile Textiles Co.,Egypt,B,Textiles,Polyester Thread 1000m,Textiles,Dammam Industrial Store,Dammam
PO00034,2023-10-12,2023-11-10,2023-11-10,SUP013,PRD020,WH003,300,276,44.65,13395.5,Delivered,On Time,0.0,3.1,13,Paid,Air Freight,2023,10,October,4,2023-10,29.0,92.0,0,Korean Tech Parts Co.,South Korea,A,Electronics,Sensor Module SM-300,Electronics,Dammam Industrial Store,Dammam
PO00035,2023-07-24,2023-07-31,2023-07-29,SUP014,PRD014,WH005,200,189,69.33,13866.69,Delivered,On Time,0.0,3.5,3,Paid,Air Freight,2023,7,July,3,2023-07,5.0,94.5,0,Italian Leather Supplies,Italy,A,Textiles,Premium Leather Sheet,Textiles,Jubail Chemical Storage,Jubail
PO00036,2023-11-15,2023-12-06,,SUP002,PRD002,WH003,500,0,3.49,1745.95,In Transit,Pending,,,0,Pending,Air Freight,2023,11,November,4,2023-11,,0.0,0,Gulf Packaging Ltd.,Saudi Arabia,A,Packaging,Corrugated Box 40x30,Packaging,Dammam Industrial Store,Dammam
PO00037,2023-03-19,2023-04-13,2023-04-10,SUP010,PRD010,WH001,500,483,12.93,6464.62,Delivered,On Time,0.0,3.1,15,Paid,Rail,2023,3,March,1,2023-03,22.0,96.6,0,Bahrain Logistics Hub,Bahrain,B,Packaging,Bubble Wrap Roll 100m,Packaging,Riyadh Central Warehouse,Riyadh
PO00038,2023-04-19,2023-05-18,,SUP007,PRD007,WH006,150,0,32.49,4873.55,Pending,Pending,,,0,Pending,Express Courier,2023,4,April,2,2023-04,,0.0,0,Shanghai Electronics Ltd.,China,B,Electronics,LED Display Module,Electronics,Madinah Distribution Center,Madinah
PO00039,2024-10-28,2024-11-13,2024-11-12,SUP005,PRD019,WH004,750,693,4.5,3376.55,Delivered,On Time,0.0,3.9,21,Pending,Rail,2024,10,October,4,2024-10,15.0,92.4,0,Nile Textiles Co.,Egypt,B,Textiles,Polyester Thread 1000m,Textiles,Dubai Free Zone Hub,Dubai
PO00040,2023-11-29,2023-12-13,2023-12-16,SUP003,PRD003,WH002,250,238,29.62,7406.08,Delivered,Late,3.0,4.0,2,Paid,Rail,2023,11,November,4,2023-11,17.0,95.2,0,Eastern Chemicals Corp.,Saudi Arabia,B,Chemicals,Sodium Hydroxide 25kg,Chemicals,Jeddah Port Warehouse,Jeddah
PO00041,2024-07-22,2024-08-09,,SUP013,PRD013,WH006,750,0,5.61,4208.95,Pending,Pending,,,0,Pending,Sea Freight,2024,7,July,3,2024-07,,0.0,0,Korean Tech Parts Co.,South Korea,A,Electronics,Microchip MC-2000,Electronics,Madinah Distribution Center,Madinah
PO00042,2023-10-29,2023-11-08,2023-11-07,SUP004,PRD016,WH006,500,499,54.49,27242.53,Delivered,On Time,0.0,4.1,8,Pending,Road Transport,2023,10,October,4,2023-10,9.0,99.8,0,Dubai Steel Industries,UAE,A,Raw Materials,Aluminum Sheet 2mm,Raw Materials,Madinah Distribution Center,Madinah
PO00043,2023-08-25,2023-08-31,,SUP002,PRD002,WH003,150,0,3.13,469.79,Cancelled,Cancelled,,,0,Cancelled,Rail,2023,8,August,3,2023-08,,0.0,0,Gulf Packaging Ltd.,Saudi Arabia,A,Packaging,Corrugated Box 40x30,Packaging,Dammam Industrial Store,Dammam
PO00044,2023-10-11,2023-11-09,2023-11-08,SUP012,PRD012,WH001,50,48,19.11,955.53,Delivered,On Time,0.0,3.3,0,Paid,Air Freight,2023,10,October,4,2023-10,28.0,96.0,0,Jordan Chemical Works,Jordan,C,Chemicals,Sulfuric Acid 10L,Chemicals,Riyadh Central Warehouse,Riyadh
PO00045,2024-10-15,2024-11-14,2024-11-13,SUP014,PRD014,WH001,150,149,69.77,10464.84,Delivered,On Time,0.0,3.5,6,Paid,Rail,2024,10,October,4,2024-10,29.0,99.33,0,Italian Leather Supplies,Italy,A,Textiles,Premium Leather Sheet,Textiles,Riyadh Central Warehouse,Riyadh
PO00046,2024-05-18,2024-05-25,2024-05-22,SUP002,PRD002,WH002,500,480,3.26,1628.12,Delivered,On Time,0.0,4.6,5,Pending,Rail,2024,5,May,2,2024-05,4.0,96.0,0,Gulf Packaging Ltd.,Saudi Arabia,A,Packaging,Corrugated Box 40x30,Packaging,Jeddah Port Warehouse,Jeddah
PO00047,2023-11-01,2023-11-22,2023-11-19,SUP014,PRD014,WH003,100,91,65.73,6573.3,Delivered,On Time,0.0,3.3,0,Paid,Express Courier,2023,11,November,4,2023-11,18.0,91.0,0,Italian Leather Supplies,Italy,A,Textiles,Premium Leather Sheet,Textiles,Dammam Industrial Store,Dammam
PO00048,2024-04-26,2024-05-08,2024-05-17,SUP005,PRD005,WH002,200,188,91.29,18257.91,Delivered,Very Late,9.0,4.1,6,Paid,Sea Freight,2024,4,April,2,2024-04,21.0,94.0,0,Nile Textiles Co.,Egypt,B,Textiles,Cotton Fabric Roll 50m,Textiles,Jeddah Port Warehouse,Jeddah
PO00049,2023-03-03,2023-03-29,2023-03-30,SUP003,PRD003,WH005,500,497,29.11,14555.88,Delivered,Late,1.0,4.0,12,Paid,Rail,2023,3,March,1,2023-03,27.0,99.4,0,Eastern Chemicals Corp.,Saudi Arabia,B,Chemicals,Sodium Hydroxide 25kg,Chemicals,Jubail Chemical Storage,Jubail
