record_id,date,origin,destination,shipping_mode,carrier,distance_km,weight_kg,cost_usd,cost_per_kg,cost_per_km,fuel_surcharge_pct,on_time
TR00001,2024-05-23,Mumbai,Riyadh,Sea Freight,DB Schenker,9121,9271.1,2301.89,0.2483,0.2524,17.9,1
TR00002,2024-11-29,Dubai,Jubail,Road Transport,Agility Logistics,5824,9877.8,1932.39,0.1956,0.3318,12.4,1
TR00003,2023-05-24,Munich,Jeddah,Air Freight,NAQEL Express,5700,3174.0,1297.93,0.4089,0.2277,10.1,1
TR00004,2024-12-01,Riyadh,Riyadh,Road Transport,Aramex,7112,8194.7,2674.2,0.3263,0.376,8.8,1
TR00005,2023-08-10,Mumbai,Madinah,Express Courier,FedEx,9396,4899.7,2263.37,0.4619,0.2409,12.0,0
TR00006,2024-12-29,Istanbul,Jubail,Road Transport,DHL Global,4692,3083.2,2466.16,0.7999,0.5256,6.4,1
TR00007,2023-05-07,Dammam,Dammam,Express Courier,DHL Global,4233,8248.9,1918.88,0.2326,0.4533,13.2,1
TR00008,2023-04-16,Mumbai,Madinah,Rail,Saudi Post Logistics,4961,3374.4,1230.52,0.3647,0.248,10.2,1
TR00009,2024-12-19,Dammam,Riyadh,Road Transport,DHL Global,7195,5125.1,3390.83,0.6616,0.4713,7.0,1
TR00010,2024-06-20,Mumbai,Riyadh,Road Transport,Maersk Line,237,3936.8,446.58,0.1134,1.8843,10.9,1
TR00011,2024-02-13,Dammam,Dammam,Sea Freight,Aramex,9217,2228.5,2386.55,1.0709,0.2589,3.8,1
TR00012,2023-07-07,Munich,Jeddah,Air Freight,Saudi Post Logistics,2559,5626.1,1515.6,0.2694,0.5923,7.8,1
TR00013,2023-05-26,Istanbul,Dubai,Rail,Aramex,1146,5460.9,4078.87,0.7469,3.5592,4.1,1
TR00014,2024-05-17,Dubai,Dubai,Sea Freight,NAQEL Express,5436,2482.5,1701.92,0.6856,0.3131,11.1,1
TR00015,2024-08-31,Riyadh,Jeddah,Rail,DHL Global,8675,8755.8,5751.99,0.6569,0.6631,11.0,1
TR00016,2024-08-21,Dubai,Jeddah,Rail,DHL Global,9656,3426.0,1985.09,0.5794,0.2056,17.7,1
TR00017,2024-12-09,Dubai,Riyadh,Road Transport,Agility Logistics,5106,2589.7,1652.25,0.638,0.3236,11.2,0
TR00018,2024-05-11,Shanghai,Madinah,Air Freight,NAQEL Express,5248,9061.3,2701.37,0.2981,0.5147,13.3,1
TR00019,2023-04-10,Dubai,Dubai,Express Courier,Maersk Line,2175,9074.4,5462.23,0.6019,2.5114,6.6,1
TR00020,2023-06-08,Riyadh,Madinah,Air Freight,Agility Logistics,1684,8559.1,2079.51,0.243,1.2349,10.6,1
TR00021,2024-04-28,Dubai,Riyadh,Sea Freight,Maersk Line,9772,5101.1,3976.07,0.7795,0.4069,10.8,1
TR00022,2023-04-08,Jeddah,Jeddah,Air Freight,Agility Logistics,2877,5614.7,3769.86,0.6714,1.3103,8.5,1
TR00023,2023-03-05,Jeddah,Dammam,Express Courier,Agility Logistics,7790,1169.6,824.33,0.7048,0.1058,9.5,1
TR00024,2024-12-21,Riyadh,Jeddah,Rail,Agility Logistics,10117,5302.3,2288.2,0.4315,0.2262,13.1,1
TR00025,2023-08-03,Istanbul,Jubail,Rail,Aramex,9482,304.0,401.21,1.3198,0.0423,7.2,0
TR00026,2024-07-12,Dubai,Dubai,Express Courier,DHL Global,10809,4475.3,2786.31,0.6226,0.2578,6.2,0
TR00027,2023-02-17,Dammam,Jeddah,Sea Freight,DB Schenker,8141,6614.4,2573.37,0.3891,0.3161,4.4,1
TR00028,2024-08-12,Riyadh,Jubail,Road Transport,Aramex,4609,1079.9,689.31,0.6383,0.1496,15.4,1
TR00029,2024-04-23,Dammam,Riyadh,Rail,DHL Global,10623,5924.3,3896.75,0.6578,0.3668,6.3,1
TR00030,2023-05-24,Munich,Jeddah,Air Freight,Maersk Line,8504,5746.6,3912.97,0.6809,0.4601,12.2,1
TR00031,2024-01-05,Jeddah,Jubail,Road Transport,Agility Logistics,2221,1359.7,978.19,0.7194,0.4404,9.3,1
TR00032,2023-10-09,Dubai,Dubai,Express Courier,DB Schenker,1095,7711.8,2747.85,0.3563,2.5095,10.8,0
