shipment_id,order_id,shipment_date,estimated_arrival,actual_arrival,origin_city,origin_country,destination_city,destination_country,carrier_name,shipping_mode,weight_kg,volume_cbm,shipping_cost_usd,insurance_cost_usd,customs_clearance_days,shipment_status,damage_flag,temperature_controlled
SHP00001,PO01597,2024-09-21,2024-09-23,2024-09-23,Cairo,Egypt,Jeddah,Saudi Arabia,FedEx,Rail,3658.2,12.7,2549.38,103.69,2,In Transit,0,1
SHP00002,PO01942,2024-05-14,2024-06-06,2024-06-06,Dammam,Saudi Arabia,Jubail,Saudi Arabia,Maersk Line,Rail,1682.7,8.65,1112.32,82.84,0,Delivered,0,0
SHP00003,PO00193,2024-02-12,2024-02-28,2024-02-28,Istanbul,Turkey,Riyadh,Saudi Arabia,DB Schenker,Rail,664.2,3.52,477.4,12.82,6,Delivered,0,0
SHP00004,PO01387,2023-10-23,2023-11-13,2023-11-16,Cairo,Egypt,Dubai,UAE,DB Schenker,Express Courier,2411.5,11.65,4909.21,282.07,0,Delivered,0,0
SHP00005,PO01005,2024-07-24,2024-08-03,2024-08-03,Amman,Jordan,Riyadh,Saudi Arabia,Saudi Post Logistics,Rail,1811.9,6.09,3410.41,177.59,1,Delayed,0,0
SHP00006,PO00158,2024-04-29,2024-05-21,2024-05-31,Seoul,South Korea,Dubai,UAE,Saudi Post Logistics,Rail,4314.8,25.54,6557.79,457.38,2,Delivered,1,0
SHP00007,PO00722,2023-09-25,2023-10-20,2023-10-20,Kuala Lumpur,Malaysia,Dubai,UAE,DB Schenker,Express Courier,2082.1,8.41,3958.87,96.05,3,Delivered,0,0
SHP00008,PO01190,2024-09-28,2024-10-12,2024-10-15,Kuala Lumpur,Malaysia,Jubail,Saudi Arabia,DHL Global,Air Freight,3232.9,21.19,2237.65,177.82,5,Delivered,0,0
SHP00009,PO00797,2024-12-15,2024-12-30,2024-12-31,Shanghai,China,Jeddah,Saudi Arabia,DHL Global,Rail,3088.9,12.1,3612.17,80.18,0,Delivered,0,0
SHP00010,PO00976,2024-04-07,2024-04-28,2024-04-28,Milan,Italy,Madinah,Saudi Arabia,Saudi Post Logistics,Express Courier,1163.3,4.03,3210.14,222.21,3,Delivered,0,0
SHP00011,PO01702,2023-01-11,2023-01-28,2023-01-28,Cairo,Egypt,Riyadh,Saudi Arabia,Aramex,Air Freight,4558.3,14.92,12443.89,327.9,4,Delivered,0,0
SHP00012,PO00661,2023-01-26,2023-02-17,2023-02-27,Manama,Bahrain,Jubail,Saudi Arabia,DB Schenker,Rail,4344.8,13.18,11998.2,316.48,2,In Transit,0,0
SHP00013,PO01426,2023-05-08,2023-05-17,2023-05-17,Munich,Germany,Jubail,Saudi Arabia,DB Schenker,Sea Freight,4132.8,14.03,7799.2,304.95,1,Delivered,0,0
SHP00014,PO00497,2023-01-30,2023-02-20,2023-02-22,Amman,Jordan,Riyadh,Saudi Arabia,Saudi Post Logistics,Express Courier,278.4,1.04,623.45,23.91,7,Delivered,0,0
SHP00015,PO01152,2023-12-06,2023-12-27,2023-12-27,Amman,Jordan,Madinah,Saudi Arabia,NAQEL Express,Air Freight,1676.7,4.94,4718.78,212.87,1,Delivered,0,1
